task,model,perm_id,mechanism,position,marginal
product_extraction,gemini-flash,perm_3,persona,4,0.0
product_extraction,gemini-flash,perm_3,example,5,0.0
product_extraction,gemini-flash,perm_3,task_label,6,-0.0357
product_extraction,gemini-flash,perm_4,format_spec,1,0.2857
product_extraction,gemini-flash,perm_4,edge_cases,2,-0.1071
product_extraction,gemini-flash,perm_4,definitions,3,0.0357
product_extraction,gemini-flash,perm_4,task_label,4,0.0357
product_extraction,gemini-flash,perm_4,example,5,0.0
product_extraction,gemini-flash,perm_4,persona,6,0.0
classification,claude-haiku,perm_0,edge_cases,1,0.1429
classification,claude-haiku,perm_0,format_spec,2,0.0
classification,claude-haiku,perm_0,definitions,3,0.0
classification,claude-haiku,perm_0,persona,4,0.0
classification,claude-haiku,perm_0,task_label,5,0.0
classification,claude-haiku,perm_0,example,6,0.1429
classification,claude-haiku,perm_1,edge_cases,1,0.0
classification,claude-haiku,perm_1,task_label,2,0.1429
classification,claude-haiku,perm_1,definitions,3,0.0
classification,claude-haiku,perm_1,persona,4,0.0
classification,claude-haiku,perm_1,example,5,0.0
classification,claude-haiku,perm_1,format_spec,6,0.0
classification,claude-haiku,perm_2,edge_cases,1,0.1429
classification,claude-haiku,perm_2,format_spec,2,-0.1429
classification,claude-haiku,perm_2,definitions,3,0.0
classification,claude-haiku,perm_2,task_label,4,0.0
classification,claude-haiku,perm_2,persona,5,0.0
classification,claude-haiku,perm_2,example,6,0.1429
classification,claude-haiku,perm_3,format_spec,1,0.1429
classification,claude-haiku,perm_3,definitions,2,0.0
classification,claude-haiku,perm_3,edge_cases,3,0.0
classification,claude-haiku,perm_3,persona,4,0.0
classification,claude-haiku,perm_3,example,5,0.1429
classification,claude-haiku,perm_3,task_label,6,0.0
classification,claude-haiku,perm_4,format_spec,1,0.1429
classification,claude-haiku,perm_4,edge_cases,2,0.0
classification,claude-haiku,perm_4,definitions,3,0.0
classification,claude-haiku,perm_4,task_label,4,0.0
classification,claude-haiku,perm_4,example,5,0.1429
classification,claude-haiku,perm_4,persona,6,0.0
product_extraction,claude-haiku,perm_0,edge_cases,1,-0.5714
product_extraction,claude-haiku,perm_0,format_spec,2,0.9286
product_extraction,claude-haiku,perm_0,definitions,3,0.0357
product_extraction,claude-haiku,perm_0,persona,4,0.0
product_extraction,claude-haiku,perm_0,task_label,5,0.0
product_extraction,claude-haiku,perm_0,example,6,0.0
product_extraction,claude-haiku,perm_1,edge_cases,1,-0.6071
product_extraction,claude-haiku,perm_1,task_label,2,0.25
product_extraction,claude-haiku,perm_1,definitions,3,0.7143
product_extraction,claude-haiku,perm_1,persona,4,0.0
product_extraction,claude-haiku,perm_1,example,5,0.0
product_extraction,claude-haiku,perm_1,format_spec,6,0.0
product_extraction,claude-haiku,perm_2,edge_cases,1,-0.6071
product_extraction,claude-haiku,perm_2,format_spec,2,0.9286
product_extraction,claude-haiku,perm_2,definitions,3,0.0357
product_extraction,claude-haiku,perm_2,task_label,4,0.0
product_extraction,claude-haiku,perm_2,persona,5,0.0
product_extraction,claude-haiku,perm_2,example,6,0.0
product_extraction,claude-haiku,perm_3,format_spec,1,0.3214
product_extraction,claude-haiku,perm_3,definitions,2,0.0
product_extraction,claude-haiku,perm_3,edge_cases,3,0.0
product_extraction,claude-haiku,perm_3,persona,4,-0.0357
product_extraction,claude-haiku,perm_3,example,5,0.0357
product_extraction,claude-haiku,perm_3,task_label,6,0.0
product_extraction,claude-haiku,perm_4,format_spec,1,0.4286
product_extraction,claude-haiku,perm_4,edge_cases,2,-0.0357
product_extraction,claude-haiku,perm_4,definitions,3,0.0357
product_extraction,claude-haiku,perm_4,task_label,4,0.0
product_extraction,claude-haiku,perm_4,example,5,0.0
product_extraction,claude-haiku,perm_4,persona,6,0.0
classification,llama-3.3-70b,perm_0,edge_cases,1,0.1429
classification,llama-3.3-70b,perm_0,format_spec,2,0.0
classification,llama-3.3-70b,perm_0,definitions,3,-0.1429
classification,llama-3.3-70b,perm_0,persona,4,0.1429
classification,llama-3.3-70b,perm_0,task_label,5,0.0
classification,llama-3.3-70b,perm_0,example,6,0.1429
classification,llama-3.3-70b,perm_1,edge_cases,1,0.0
classification,llama-3.3-70b,perm_1,task_label,2,0.0
classification,llama-3.3-70b,perm_1,definitions,3,0.0
classification,llama-3.3-70b,perm_1,persona,4,0.0
classification,llama-3.3-70b,perm_1,example,5,0.1429
classification,llama-3.3-70b,perm_1,format_spec,6,-0.1429
classification,llama-3.3-70b,perm_2,edge_cases,1,0.1429
classification,llama-3.3-70b,perm_2,format_spec,2,0.0
classification,llama-3.3-70b,perm_2,definitions,3,-0.1429
classification,llama-3.3-70b,perm_2,task_label,4,0.0
classification,llama-3.3-70b,perm_2,persona,5,0.0
classification,llama-3.3-70b,perm_2,example,6,0.2857
classification,llama-3.3-70b,perm_3,format_spec,1,0.0
classification,llama-3.3-70b,perm_3,definitions,2,0.0
classification,llama-3.3-70b,perm_3,edge_cases,3,0.0
classification,llama-3.3-70b,perm_3,persona,4,0.0
classification,llama-3.3-70b,perm_3,example,5,0.2857
classification,llama-3.3-70b,perm_3,task_label,6,-0.2857
classification,llama-3.3-70b,perm_4,format_spec,1,-0.1429
classification,llama-3.3-70b,perm_4,edge_cases,2,0.0
classification,llama-3.3-70b,perm_4,definitions,3,0.0
classification,llama-3.3-70b,perm_4,task_label,4,0.0
classification,llama-3.3-70b,perm_4,example,5,0.2857
classification,llama-3.3-70b,perm_4,persona,6,-0.2857
product_extraction,llama-3.3-70b,perm_0,edge_cases,1,0.25
product_extraction,llama-3.3-70b,perm_0,format_spec,2,0.1786
product_extraction,llama-3.3-70b,perm_0,definitions,3,0.1071
product_extraction,llama-3.3-70b,perm_0,persona,4,-0.0714
product_extraction,llama-3.3-70b,perm_0,task_label,5,0.0357
product_extraction,llama-3.3-70b,perm_0,example,6,-0.1429
product_extraction,llama-3.3-70b,perm_1,edge_cases,1,0.1786
product_extraction,llama-3.3-70b,perm_1,task_label,2,0.1429
product_extraction,llama-3.3-70b,perm_1,definitions,3,0.1429
product_extraction,llama-3.3-70b,perm_1,persona,4,0.0
product_extraction,llama-3.3-70b,perm_1,example,5,-0.2143
product_extraction,llama-3.3-70b,perm_1,format_spec,6,0.0357
product_extraction,llama-3.3-70b,perm_2,edge_cases,1,0.2143
product_extraction,llama-3.3-70b,perm_2,format_spec,2,0.1786
product_extraction,llama-3.3-70b,perm_2,definitions,3,0.0714
product_extraction,llama-3.3-70b,perm_2,task_label,4,0.0
product_extraction,llama-3.3-70b,perm_2,persona,5,-0.0357
product_extraction,llama-3.3-70b,perm_2,example,6,-0.1429
product_extraction,llama-3.3-70b,perm_3,format_spec,1,0.4286
product_extraction,llama-3.3-70b,perm_3,definitions,2,0.0
product_extraction,llama-3.3-70b,perm_3,edge_cases,3,0.0
product_extraction,llama-3.3-70b,perm_3,persona,4,0.0
product_extraction,llama-3.3-70b,perm_3,example,5,-0.1071
product_extraction,llama-3.3-70b,perm_3,task_label,6,0.0
product_extraction,llama-3.3-70b,perm_4,format_spec,1,0.5
product_extraction,llama-3.3-70b,perm_4,edge_cases,2,-0.0714
product_extraction,llama-3.3-70b,perm_4,definitions,3,0.0357
product_extraction,llama-3.3-70b,perm_4,task_label,4,0.0
product_extraction,llama-3.3-70b,perm_4,example,5,0.0
product_extraction,llama-3.3-70b,perm_4,persona,6,-0.0714
classification,llama-3.1-8b,perm_0,edge_cases,1,0.4286
classification,llama-3.1-8b,perm_0,format_spec,2,-0.1429
classification,llama-3.1-8b,perm_0,definitions,3,0.1429
classification,llama-3.1-8b,perm_0,persona,4,0.0
classification,llama-3.1-8b,perm_0,task_label,5,-0.1429
classification,llama-3.1-8b,perm_0,example,6,-0.5714
classification,llama-3.1-8b,perm_1,edge_cases,1,0.5714
classification,llama-3.1-8b,perm_1,task_label,2,0.0
classification,llama-3.1-8b,perm_1,definitions,3,0.0
classification,llama-3.1-8b,perm_1,persona,4,-0.1429
classification,llama-3.1-8b,perm_1,example,5,0.0
classification,llama-3.1-8b,perm_1,format_spec,6,0.0
classification,llama-3.1-8b,perm_2,edge_cases,1,0.2857
classification,llama-3.1-8b,perm_2,format_spec,2,0.0
classification,llama-3.1-8b,perm_2,definitions,3,0.0
classification,llama-3.1-8b,perm_2,task_label,4,0.0
classification,llama-3.1-8b,perm_2,persona,5,0.0
classification,llama-3.1-8b,perm_2,example,6,-0.5714
classification,llama-3.1-8b,perm_3,format_spec,1,0.1429
classification,llama-3.1-8b,perm_3,definitions,2,0.0
classification,llama-3.1-8b,perm_3,edge_cases,3,0.1429
classification,llama-3.1-8b,perm_3,persona,4,-0.1429
classification,llama-3.1-8b,perm_3,example,5,-0.4286
classification,llama-3.1-8b,perm_3,task_label,6,0.5714
classification,llama-3.1-8b,perm_4,format_spec,1,0.1429
classification,llama-3.1-8b,perm_4,edge_cases,2,0.0
classification,llama-3.1-8b,perm_4,definitions,3,0.0
classification,llama-3.1-8b,perm_4,task_label,4,0.1429
classification,llama-3.1-8b,perm_4,example,5,-0.1429
classification,llama-3.1-8b,perm_4,persona,6,0.1429
product_extraction,llama-3.1-8b,perm_0,edge_cases,1,0.2143
product_extraction,llama-3.1-8b,perm_0,format_spec,2,0.1786
product_extraction,llama-3.1-8b,perm_0,definitions,3,0.1786
product_extraction,llama-3.1-8b,perm_0,persona,4,0.0
product_extraction,llama-3.1-8b,perm_0,task_label,5,0.0
product_extraction,llama-3.1-8b,perm_0,example,6,-0.1071
product_extraction,llama-3.1-8b,perm_1,edge_cases,1,0.25
product_extraction,llama-3.1-8b,perm_1,task_label,2,0.25
product_extraction,llama-3.1-8b,perm_1,definitions,3,0.0357
product_extraction,llama-3.1-8b,perm_1,persona,4,-0.0714
product_extraction,llama-3.1-8b,perm_1,example,5,-0.0357
product_extraction,llama-3.1-8b,perm_1,format_spec,6,0.0
product_extraction,llama-3.1-8b,perm_2,edge_cases,1,0.3214
product_extraction,llama-3.1-8b,perm_2,format_spec,2,0.1429
product_extraction,llama-3.1-8b,perm_2,definitions,3,0.0714
product_extraction,llama-3.1-8b,perm_2,task_label,4,-0.0714
product_extraction,llama-3.1-8b,perm_2,persona,5,0.0714
product_extraction,llama-3.1-8b,perm_2,example,6,-0.25
product_extraction,llama-3.1-8b,perm_3,format_spec,1,0.5
product_extraction,llama-3.1-8b,perm_3,definitions,2,0.1071
product_extraction,llama-3.1-8b,perm_3,edge_cases,3,0.0
product_extraction,llama-3.1-8b,perm_3,persona,4,0.0
product_extraction,llama-3.1-8b,perm_3,example,5,-0.0357
product_extraction,llama-3.1-8b,perm_3,task_label,6,0.0357
product_extraction,llama-3.1-8b,perm_4,format_spec,1,0.4643
product_extraction,llama-3.1-8b,perm_4,edge_cases,2,0.0357
product_extraction,llama-3.1-8b,perm_4,definitions,3,0.0714
product_extraction,llama-3.1-8b,perm_4,task_label,4,-0.1429
product_extraction,llama-3.1-8b,perm_4,example,5,0.1071
product_extraction,llama-3.1-8b,perm_4,persona,6,0.0
classification,qwen3-32b,perm_0,edge_cases,1,0.0
classification,qwen3-32b,perm_0,format_spec,2,-0.1429
classification,qwen3-32b,perm_0,definitions,3,0.2857
classification,qwen3-32b,perm_0,persona,4,-0.1429
classification,qwen3-32b,perm_0,task_label,5,-0.1429
classification,qwen3-32b,perm_0,example,6,0.1429
classification,qwen3-32b,perm_1,edge_cases,1,0.0
classification,qwen3-32b,perm_1,task_label,2,0.0
classification,qwen3-32b,perm_1,definitions,3,0.1429
classification,qwen3-32b,perm_1,persona,4,0.0
classification,qwen3-32b,perm_1,example,5,0.0
classification,qwen3-32b,perm_1,format_spec,6,-0.1429
classification,qwen3-32b,perm_2,edge_cases,1,0.0
classification,qwen3-32b,perm_2,format_spec,2,-0.1429
classification,qwen3-32b,perm_2,definitions,3,0.1429
classification,qwen3-32b,perm_2,task_label,4,0.0
classification,qwen3-32b,perm_2,persona,5,0.0
classification,qwen3-32b,perm_2,example,6,0.0
classification,qwen3-32b,perm_3,format_spec,1,-0.2857
classification,qwen3-32b,perm_3,definitions,2,0.2857
classification,qwen3-32b,perm_3,edge_cases,3,0.0
classification,qwen3-32b,perm_3,persona,4,-0.1429
classification,qwen3-32b,perm_3,example,5,0.0
classification,qwen3-32b,perm_3,task_label,6,0.0
classification,qwen3-32b,perm_4,format_spec,1,-0.1429
classification,qwen3-32b,perm_4,edge_cases,2,0.1429
classification,qwen3-32b,perm_4,definitions,3,0.1429
classification,qwen3-32b,perm_4,task_label,4,-0.1429
classification,qwen3-32b,perm_4,example,5,0.0
classification,qwen3-32b,perm_4,persona,6,0.0
product_extraction,qwen3-32b,perm_0,edge_cases,1,0.2143
product_extraction,qwen3-32b,perm_0,format_spec,2,0.2143
product_extraction,qwen3-32b,perm_0,definitions,3,-0.0357
product_extraction,qwen3-32b,perm_0,persona,4,0.0357
product_extraction,qwen3-32b,perm_0,task_label,5,0.0
product_extraction,qwen3-32b,perm_0,example,6,0.0
product_extraction,qwen3-32b,perm_1,edge_cases,1,0.25
product_extraction,qwen3-32b,perm_1,task_label,2,0.1786
product_extraction,qwen3-32b,perm_1,definitions,3,-0.0357
product_extraction,qwen3-32b,perm_1,persona,4,0.0357
product_extraction,qwen3-32b,perm_1,example,5,0.0
product_extraction,qwen3-32b,perm_1,format_spec,6,0.0
product_extraction,qwen3-32b,perm_2,edge_cases,1,0.1786
product_extraction,qwen3-32b,perm_2,format_spec,2,0.2143
product_extraction,qwen3-32b,perm_2,definitions,3,0.0
product_extraction,qwen3-32b,perm_2,task_label,4,0.0357
product_extraction,qwen3-32b,perm_2,persona,5,0.0
product_extraction,qwen3-32b,perm_2,example,6,0.0
product_extraction,qwen3-32b,perm_3,format_spec,1,0.4286
product_extraction,qwen3-32b,perm_3,definitions,2,0.0
product_extraction,qwen3-32b,perm_3,edge_cases,3,-0.0357
product_extraction,qwen3-32b,perm_3,persona,4,0.0357
product_extraction,qwen3-32b,perm_3,example,5,0.0
product_extraction,qwen3-32b,perm_3,task_label,6,0.0
product_extraction,qwen3-32b,perm_4,format_spec,1,0.3929
product_extraction,qwen3-32b,perm_4,edge_cases,2,0.0
product_extraction,qwen3-32b,perm_4,definitions,3,0.0
product_extraction,qwen3-32b,perm_4,task_label,4,0.0
product_extraction,qwen3-32b,perm_4,example,5,0.0357
product_extraction,qwen3-32b,perm_4,persona,6,0.0
