model,level,example_id,strict_quality,lenient_quality,content_presence,judge_quality,parse_path
gpt-4o-mini,4,8,1.0,1.0,1.0,1.0,json
gpt-4o-mini,4,9,0.75,1.0,1.0,0.75,json
gpt-4o-mini,4,10,0.75,1.0,0.75,0.8,json
gpt-4o-mini,4,11,0.75,0.75,0.75,0.85,json
gpt-4o-mini,4,12,0.75,0.75,0.75,0.85,json
gpt-4o-mini,4,13,0.75,1.0,1.0,0.85,json
gpt-4o-mini,4,14,1.0,1.0,1.0,0.8,json
gpt-4o-mini,4,15,1.0,1.0,1.0,0.95,json
gpt-4o-mini,4,16,0.75,1.0,1.0,0.8,json
gpt-4o-mini,4,17,1.0,1.0,1.0,0.85,json
gpt-4o-mini,4,18,0.75,0.75,0.75,0.85,json
gpt-4o-mini,4,19,0.75,1.0,1.0,0.85,json
gpt-4o-mini,5,0,1.0,1.0,1.0,0.8,json
gpt-4o-mini,5,1,1.0,1.0,1.0,1.0,json
gpt-4o-mini,5,2,1.0,1.0,1.0,1.0,json
gpt-4o-mini,5,3,0.75,1.0,1.0,0.7,json
gpt-4o-mini,5,4,0.75,1.0,1.0,0.75,json
gpt-4o-mini,5,5,1.0,1.0,1.0,1.0,json
gpt-4o-mini,5,6,0.75,0.75,0.75,0.8,json
gpt-4o-mini,5,7,1.0,1.0,1.0,0.8,json
gpt-4o-mini,5,8,1.0,1.0,1.0,1.0,json
gpt-4o-mini,5,9,1.0,1.0,1.0,0.95,json
gpt-4o-mini,5,10,1.0,1.0,0.75,0.85,json
gpt-4o-mini,5,11,0.75,0.75,0.75,0.85,json
gpt-4o-mini,5,12,0.75,0.75,0.75,0.85,json
gpt-4o-mini,5,13,1.0,1.0,1.0,1.0,json
gpt-4o-mini,5,14,1.0,1.0,1.0,0.8,json
gpt-4o-mini,5,15,1.0,1.0,1.0,0.95,json
gpt-4o-mini,5,16,0.75,1.0,1.0,0.8,json
gpt-4o-mini,5,17,1.0,1.0,1.0,0.85,json
gpt-4o-mini,5,18,0.75,0.75,0.75,0.85,json
gpt-4o-mini,5,19,1.0,1.0,1.0,1.0,json
gpt-4o-mini,6,0,1.0,1.0,1.0,0.95,json
gpt-4o-mini,6,1,1.0,1.0,1.0,1.0,json
gpt-4o-mini,6,2,1.0,1.0,1.0,1.0,json
gpt-4o-mini,6,3,1.0,1.0,1.0,0.8,json
gpt-4o-mini,6,4,1.0,1.0,1.0,0.95,json
gpt-4o-mini,6,5,1.0,1.0,1.0,0.75,json
gpt-4o-mini,6,6,0.75,0.75,0.75,0.7,json
gpt-4o-mini,6,7,1.0,1.0,1.0,0.8,json
gpt-4o-mini,6,8,0.75,0.75,0.75,0.75,json
gpt-4o-mini,6,9,1.0,1.0,1.0,0.95,json
gpt-4o-mini,6,10,1.0,1.0,0.75,0.8,json
gpt-4o-mini,6,11,1.0,1.0,1.0,1.0,json
gpt-4o-mini,6,12,0.75,0.75,0.75,0.85,json
gpt-4o-mini,6,13,1.0,1.0,1.0,0.85,json
gpt-4o-mini,6,14,1.0,1.0,1.0,0.8,json
gpt-4o-mini,6,15,1.0,1.0,1.0,0.85,json
gpt-4o-mini,6,16,1.0,1.0,1.0,1.0,json
gpt-4o-mini,6,17,1.0,1.0,1.0,0.85,json
gpt-4o-mini,6,18,0.75,0.75,0.75,1.0,json
gpt-4o-mini,6,19,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,0,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,1,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,2,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,3,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,4,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,5,0.75,0.75,1.0,0.85,json
gpt-4o-mini,7,6,0.75,0.75,0.75,0.85,json
gpt-4o-mini,7,7,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,8,0.75,0.75,0.75,0.75,json
gpt-4o-mini,7,9,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,10,1.0,1.0,0.75,0.8,json
gpt-4o-mini,7,11,0.75,0.75,0.75,0.85,json
gpt-4o-mini,7,12,0.75,0.75,0.75,0.85,json
gpt-4o-mini,7,13,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,14,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,15,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,16,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,17,1.0,1.0,1.0,1.0,json
gpt-4o-mini,7,18,0.75,0.75,0.75,1.0,json
gpt-4o-mini,7,19,1.0,1.0,1.0,1.0,json
claude-haiku,1,0,0.0,0.75,1.0,0.85,markdown_list
claude-haiku,1,1,0.0,0.75,1.0,0.85,markdown_list
claude-haiku,1,2,0.0,0.75,1.0,0.8,markdown_list
claude-haiku,1,3,0.0,0.5,1.0,0.8,markdown_list
claude-haiku,1,4,0.0,0.5,1.0,0.8,markdown_list
claude-haiku,1,5,0.0,0.5,1.0,0.8,markdown_list
claude-haiku,1,6,0.0,0.5,0.5,0.85,markdown_list
claude-haiku,1,7,0.0,0.75,1.0,0.8,markdown_list
claude-haiku,1,8,0.0,0.75,0.75,0.8,markdown_list
claude-haiku,1,9,0.0,0.75,1.0,0.8,markdown_list
claude-haiku,1,10,0.0,1.0,0.75,0.8,bold_keys
claude-haiku,1,11,0.0,0.25,0.5,0.8,markdown_list
claude-haiku,1,12,0.0,0.5,0.5,0.8,markdown_list
claude-haiku,1,13,0.0,0.5,1.0,0.7,markdown_list
claude-haiku,1,14,0.0,0.75,1.0,0.8,markdown_list
claude-haiku,1,15,0.0,0.75,1.0,0.8,markdown_list
claude-haiku,1,16,0.0,0.5,0.75,0.8,markdown_list
claude-haiku,1,17,0.0,0.75,1.0,0.75,markdown_list
claude-haiku,1,18,0.0,0.5,0.75,0.85,markdown_list
claude-haiku,1,19,0.0,0.5,1.0,0.8,markdown_list
claude-haiku,2,0,0.0,1.0,1.0,0.8,bold_keys
claude-haiku,2,1,0.0,0.0,1.0,0.8,bold_keys
claude-haiku,2,2,0.0,1.0,1.0,0.95,bold_keys
claude-haiku,2,3,0.0,1.0,1.0,0.7,bold_keys
claude-haiku,2,4,0.0,1.0,1.0,0.8,bold_keys
claude-haiku,2,5,0.0,1.0,1.0,0.8,bold_keys
claude-haiku,2,6,0.0,1.0,1.0,0.8,bold_keys
claude-haiku,2,7,0.0,1.0,1.0,0.75,bold_keys
claude-haiku,2,8,0.0,1.0,1.0,0.95,bold_keys
claude-haiku,2,9,0.0,1.0,1.0,0.8,bold_keys
claude-haiku,2,10,0.0,1.0,0.75,0.8,bold_keys
claude-haiku,2,11,0.0,0.75,1.0,0.75,bold_keys
claude-haiku,2,12,0.0,0.75,0.75,0.75,bold_keys
claude-haiku,2,13,0.0,1.0,1.0,0.75,bold_keys
claude-haiku,2,14,0.0,1.0,1.0,0.95,bold_keys
claude-haiku,2,15,0.0,1.0,1.0,1.0,bold_keys
claude-haiku,2,16,0.0,1.0,1.0,0.8,bold_keys
claude-haiku,2,17,0.0,1.0,1.0,0.7,bold_keys
claude-haiku,2,18,0.0,0.75,0.75,1.0,bold_keys
claude-haiku,2,19,0.0,1.0,1.0,0.8,markdown_list
claude-haiku,3,0,0.75,0.75,0.75,0.8,json
claude-haiku,3,1,1.0,1.0,0.75,0.8,json
claude-haiku,3,2,1.0,1.0,1.0,0.9,json
claude-haiku,3,3,0.75,1.0,1.0,0.7,json
claude-haiku,3,4,1.0,1.0,1.0,0.8,json
claude-haiku,3,5,0.75,0.75,1.0,0.8,json
claude-haiku,3,6,0.75,0.75,0.75,0.75,json
claude-haiku,3,7,0.75,1.0,1.0,0.7,json
claude-haiku,3,8,1.0,1.0,1.0,0.85,json
claude-haiku,3,9,0.75,0.75,0.75,0.8,json
claude-haiku,3,10,0.75,1.0,0.75,0.8,json
claude-haiku,3,11,0.75,0.75,0.75,0.8,json
claude-haiku,3,12,0.75,1.0,1.0,0.8,json
claude-haiku,3,13,0.5,1.0,1.0,0.75,json
claude-haiku,3,14,1.0,1.0,1.0,0.8,json
claude-haiku,3,15,1.0,1.0,1.0,0.85,json
claude-haiku,3,16,0.75,1.0,1.0,0.8,json
claude-haiku,3,17,0.75,1.0,1.0,0.75,json
claude-haiku,3,18,0.75,0.75,0.75,0.8,json
claude-haiku,3,19,0.75,1.0,1.0,0.85,json
claude-haiku,4,0,1.0,1.0,1.0,0.8,json
claude-haiku,4,1,1.0,1.0,1.0,0.85,json
claude-haiku,4,2,1.0,1.0,1.0,0.85,json
claude-haiku,4,3,0.75,1.0,1.0,0.75,json
claude-haiku,4,4,1.0,1.0,1.0,0.8,json
claude-haiku,4,5,1.0,1.0,1.0,0.85,json
claude-haiku,4,6,0.75,0.75,0.75,0.8,json
claude-haiku,4,7,0.75,1.0,1.0,0.7,json
claude-haiku,4,8,1.0,1.0,1.0,0.85,json
claude-haiku,4,9,0.75,1.0,1.0,0.7,json
claude-haiku,4,10,1.0,1.0,0.75,0.8,json
claude-haiku,4,11,0.75,0.75,0.75,0.85,json
claude-haiku,4,12,1.0,1.0,1.0,0.85,json
claude-haiku,4,13,0.75,1.0,1.0,0.8,json
claude-haiku,4,14,1.0,1.0,1.0,0.8,json
claude-haiku,4,15,1.0,1.0,1.0,0.85,json
claude-haiku,4,16,0.75,1.0,1.0,0.8,json
claude-haiku,4,17,1.0,1.0,1.0,1.0,json
claude-haiku,4,18,0.75,0.75,0.75,0.85,json
claude-haiku,4,19,0.75,1.0,1.0,0.8,json
claude-haiku,5,0,1.0,1.0,1.0,0.8,json
claude-haiku,5,1,1.0,1.0,1.0,0.85,json
claude-haiku,5,2,1.0,1.0,1.0,0.85,json
claude-haiku,5,3,0.75,1.0,1.0,0.75,json
claude-haiku,5,4,1.0,1.0,1.0,0.8,json
claude-haiku,5,5,1.0,1.0,1.0,0.85,json
claude-haiku,5,6,0.75,0.75,0.75,0.8,json
claude-haiku,5,7,0.75,1.0,1.0,0.75,json
claude-haiku,5,8,1.0,1.0,1.0,0.85,json
claude-haiku,5,9,0.75,1.0,1.0,0.75,json
claude-haiku,5,10,1.0,1.0,0.75,0.8,json
claude-haiku,5,11,0.75,0.75,0.75,0.85,json
claude-haiku,5,12,1.0,1.0,1.0,0.85,json
claude-haiku,5,13,0.75,1.0,1.0,0.8,json
claude-haiku,5,14,1.0,1.0,1.0,0.8,json
claude-haiku,5,15,1.0,1.0,1.0,0.85,json
claude-haiku,5,16,0.75,1.0,1.0,0.8,json
claude-haiku,5,17,1.0,1.0,1.0,1.0,json
claude-haiku,5,18,0.75,0.75,0.75,0.85,json
claude-haiku,5,19,0.75,1.0,1.0,0.85,json
claude-haiku,6,0,1.0,1.0,1.0,0.8,json
claude-haiku,6,1,1.0,1.0,1.0,0.85,json
claude-haiku,6,2,1.0,1.0,1.0,0.75,json
claude-haiku,6,3,1.0,1.0,1.0,0.8,json
claude-haiku,6,4,1.0,1.0,1.0,0.8,json
claude-haiku,6,5,1.0,1.0,1.0,0.85,json
claude-haiku,6,6,1.0,1.0,1.0,0.95,json
claude-haiku,6,7,0.75,1.0,1.0,0.75,json
claude-haiku,6,8,1.0,1.0,1.0,1.0,json
claude-haiku,6,9,1.0,1.0,1.0,0.8,json
claude-haiku,6,10,1.0,1.0,0.75,0.85,json
claude-haiku,6,11,0.75,0.75,0.75,0.85,json
claude-haiku,6,12,0.75,0.75,0.75,0.85,json
claude-haiku,6,13,0.75,1.0,1.0,0.85,json
claude-haiku,6,14,1.0,1.0,1.0,0.8,json
claude-haiku,6,15,1.0,1.0,1.0,0.95,json
claude-haiku,6,16,0.75,1.0,1.0,0.8,json
claude-haiku,6,17,1.0,1.0,1.0,0.85,json
claude-haiku,6,18,0.75,0.75,0.75,0.85,json
claude-haiku,6,19,0.75,1.0,1.0,0.85,json
claude-haiku,7,0,1.0,1.0,1.0,1.0,json
claude-haiku,7,1,1.0,1.0,1.0,1.0,json
claude-haiku,7,2,1.0,1.0,1.0,1.0,json
claude-haiku,7,3,1.0,1.0,1.0,1.0,json
claude-haiku,7,4,1.0,1.0,1.0,1.0,json
claude-haiku,7,5,1.0,1.0,1.0,1.0,json
claude-haiku,7,6,1.0,1.0,1.0,1.0,json
claude-haiku,7,7,0.75,1.0,1.0,0.85,json
claude-haiku,7,8,1.0,1.0,1.0,1.0,json
claude-haiku,7,9,1.0,1.0,1.0,1.0,json
claude-haiku,7,10,1.0,1.0,1.0,1.0,json
claude-haiku,7,11,1.0,1.0,1.0,1.0,json
claude-haiku,7,12,1.0,1.0,1.0,1.0,json
claude-haiku,7,13,1.0,1.0,1.0,1.0,json
claude-haiku,7,14,1.0,1.0,1.0,1.0,json
claude-haiku,7,15,1.0,1.0,1.0,1.0,json
claude-haiku,7,16,1.0,1.0,1.0,1.0,json
claude-haiku,7,17,1.0,1.0,1.0,1.0,json
claude-haiku,7,18,0.75,0.75,0.75,1.0,json
claude-haiku,7,19,1.0,1.0,1.0,1.0,json
gemini-flash,1,0,0.0,0.5,1.0,0.75,markdown_list
gemini-flash,1,1,0.0,0.75,1.0,0.7,markdown_list
gemini-flash,1,2,0.0,0.75,1.0,0.7,markdown_list
gemini-flash,1,3,0.0,0.75,1.0,0.7,markdown_list
gemini-flash,1,4,0.0,0.75,1.0,0.75,markdown_list
gemini-flash,1,5,0.0,0.5,1.0,0.65,markdown_list
gemini-flash,1,6,0.0,0.5,0.75,0.8,markdown_list
gemini-flash,1,7,0.0,0.5,1.0,0.7,markdown_list
gemini-flash,1,9,0.0,0.5,1.0,0.7,markdown_list
gemini-flash,1,10,0.0,0.75,1.0,0.75,markdown_list
gemini-flash,1,11,0.0,0.0,0.5,0.7,markdown_list
gemini-flash,1,13,0.0,0.75,1.0,0.7,markdown_list
gemini-flash,1,15,0.0,0.5,1.0,0.7,markdown_list
gemini-flash,1,16,0.0,0.75,1.0,0.75,markdown_list
gemini-flash,1,17,0.0,0.5,1.0,0.8,markdown_list
gemini-flash,1,18,0.0,0.5,0.75,0.7,markdown_list
gemini-flash,1,19,0.0,0.75,1.0,0.7,markdown_list
gemini-flash,2,0,0.0,1.0,1.0,0.8,markdown_list
gemini-flash,2,1,0.0,1.0,1.0,0.75,markdown_list
gemini-flash,2,2,0.0,1.0,1.0,0.85,markdown_list
gemini-flash,2,3,0.0,1.0,1.0,0.75,markdown_list
gemini-flash,2,4,0.0,1.0,1.0,0.8,markdown_list
gemini-flash,2,5,0.0,0.75,1.0,0.75,markdown_list
llama-3.1-8b,1,0,0.0,0.5,1.0,0.75,markdown_list
llama-3.1-8b,1,1,0.0,0.5,1.0,0.7,markdown_list
llama-3.1-8b,1,2,0.0,0.25,0.75,0.7,markdown_list
llama-3.1-8b,1,3,0.0,0.5,0.75,0.8,markdown_list
llama-3.1-8b,1,4,0.0,0.25,1.0,0.8,markdown_list
llama-3.1-8b,1,5,0.0,0.5,1.0,0.8,markdown_list
llama-3.1-8b,1,6,0.0,0.0,0.5,0.85,markdown_list
llama-3.1-8b,1,7,0.0,0.75,1.0,0.75,markdown_list
llama-3.1-8b,1,8,0.0,0.5,0.75,0.85,markdown_list
llama-3.1-8b,1,9,0.0,0.5,1.0,0.7,markdown_list
llama-3.1-8b,1,10,0.0,1.0,0.75,0.7,markdown_list
llama-3.1-8b,1,11,0.0,0.25,0.5,0.75,markdown_list
llama-3.1-8b,1,12,0.0,0.5,0.75,0.8,markdown_list
llama-3.1-8b,1,13,0.0,0.5,1.0,0.8,markdown_list
llama-3.1-8b,1,14,0.0,0.5,0.75,0.8,markdown_list
llama-3.1-8b,1,15,0.0,0.5,0.75,0.75,markdown_list
llama-3.1-8b,1,16,0.0,0.5,0.75,0.7,markdown_list
llama-3.1-8b,1,17,0.0,0.0,1.0,0.8,markdown_list
llama-3.1-8b,1,18,0.0,0.25,0.5,0.75,markdown_list
llama-3.1-8b,1,19,0.0,0.0,1.0,0.8,markdown_list
llama-3.1-8b,2,0,0.0,1.0,1.0,0.95,markdown_list
llama-3.1-8b,2,1,0.0,1.0,0.75,0.75,markdown_list
llama-3.1-8b,2,2,0.0,1.0,1.0,0.9,markdown_list
llama-3.1-8b,2,3,0.0,1.0,1.0,0.75,markdown_list
llama-3.1-8b,2,4,0.0,1.0,1.0,0.8,markdown_list
llama-3.1-8b,2,5,0.0,1.0,1.0,0.7,markdown_list
llama-3.1-8b,2,6,0.0,0.75,0.75,0.8,markdown_list
llama-3.1-8b,2,7,0.0,1.0,1.0,0.8,markdown_list
llama-3.1-8b,2,8,0.0,1.0,1.0,0.7,markdown_list
llama-3.1-8b,2,9,0.0,1.0,0.75,0.85,markdown_list
llama-3.1-8b,2,10,0.0,1.0,0.75,0.8,markdown_list
llama-3.1-8b,2,11,0.0,0.5,0.75,0.7,markdown_list
llama-3.1-8b,2,12,0.0,1.0,0.75,0.8,markdown_list
llama-3.1-8b,2,13,0.0,1.0,1.0,0.75,markdown_list
llama-3.1-8b,2,14,0.0,1.0,1.0,0.9,markdown_list
llama-3.1-8b,2,15,0.0,1.0,1.0,1.0,markdown_list
llama-3.1-8b,2,16,0.0,1.0,1.0,0.8,markdown_list
llama-3.1-8b,2,17,0.0,0.75,0.75,0.55,markdown_list
llama-3.1-8b,2,18,0.0,0.75,0.75,0.9,markdown_list
llama-3.1-8b,2,19,0.0,1.0,1.0,0.75,markdown_list
llama-3.1-8b,3,0,1.0,1.0,1.0,0.8,json
llama-3.1-8b,3,1,1.0,1.0,0.75,0.85,json
llama-3.1-8b,3,2,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,3,0.75,1.0,0.75,0.8,json
llama-3.1-8b,3,4,1.0,1.0,1.0,0.85,json
llama-3.1-8b,3,5,0.75,0.75,0.75,0.75,json
llama-3.1-8b,3,6,0.75,0.75,0.75,0.85,json
llama-3.1-8b,3,7,1.0,1.0,1.0,0.8,json
llama-3.1-8b,3,8,1.0,1.0,1.0,0.8,json
llama-3.1-8b,3,9,0.75,0.75,0.75,0.85,json
llama-3.1-8b,3,10,1.0,1.0,0.75,0.85,json
llama-3.1-8b,3,11,0.5,0.5,0.75,0.75,json
llama-3.1-8b,3,12,0.75,1.0,0.75,0.8,json
llama-3.1-8b,3,13,0.75,1.0,1.0,0.85,json
llama-3.1-8b,3,14,1.0,1.0,1.0,0.85,json
llama-3.1-8b,3,15,1.0,1.0,1.0,0.85,json
llama-3.1-8b,3,16,0.75,1.0,1.0,0.8,json
llama-3.1-8b,3,17,0.75,0.75,0.75,0.8,json
llama-3.1-8b,3,18,1.0,1.0,0.75,0.8,json
llama-3.1-8b,3,19,0.75,1.0,0.75,0.8,json
llama-3.1-8b,4,0,0.75,1.0,1.0,0.75,json
llama-3.1-8b,4,1,1.0,1.0,1.0,0.75,json
llama-3.1-8b,4,2,1.0,1.0,1.0,0.9,json
llama-3.1-8b,4,3,0.75,1.0,1.0,0.75,json
llama-3.1-8b,4,4,0.75,1.0,1.0,0.8,plain_keyval
llama-3.1-8b,4,5,0.75,0.75,1.0,0.75,json
llama-3.1-8b,4,6,0.75,0.75,0.75,0.8,json
llama-3.1-8b,4,7,0.75,1.0,1.0,0.75,json
llama-3.1-8b,4,8,1.0,1.0,1.0,0.95,json
llama-3.1-8b,4,9,0.75,1.0,1.0,0.8,json
llama-3.1-8b,4,10,0.75,1.0,0.75,0.8,json
llama-3.1-8b,4,11,0.5,0.5,0.75,0.75,json
llama-3.1-8b,4,12,0.5,0.75,0.75,0.8,json
llama-3.1-8b,4,13,0.75,1.0,1.0,0.8,json
llama-3.1-8b,4,14,1.0,1.0,1.0,0.8,json
llama-3.1-8b,4,15,1.0,1.0,1.0,0.8,json
llama-3.1-8b,4,16,0.75,1.0,1.0,0.75,json
llama-3.1-8b,4,17,1.0,1.0,1.0,0.9,plain_keyval
llama-3.1-8b,4,18,0.75,0.75,0.75,0.85,json
llama-3.1-8b,4,19,0.75,1.0,1.0,0.75,json
llama-3.1-8b,5,0,1.0,1.0,1.0,0.8,json
llama-3.1-8b,5,1,1.0,1.0,1.0,0.85,json
llama-3.1-8b,5,2,1.0,1.0,1.0,0.9,json
llama-3.1-8b,5,3,0.75,1.0,1.0,0.7,json
llama-3.1-8b,5,4,0.75,1.0,1.0,0.8,json
llama-3.1-8b,5,5,0.75,1.0,1.0,0.7,json
llama-3.1-8b,5,6,0.75,0.75,0.75,0.8,json
llama-3.1-8b,5,7,0.75,1.0,1.0,0.8,json
llama-3.1-8b,5,8,1.0,1.0,1.0,0.85,json
llama-3.1-8b,5,9,0.75,1.0,1.0,0.75,json
llama-3.1-8b,5,10,0.75,1.0,0.75,0.8,json
llama-3.1-8b,5,11,0.5,0.5,0.5,0.7,json
llama-3.1-8b,5,12,0.75,1.0,1.0,0.8,json
llama-3.1-8b,5,13,0.75,1.0,1.0,0.85,json
llama-3.1-8b,5,14,1.0,1.0,1.0,0.8,json
llama-3.1-8b,5,15,0.75,1.0,1.0,0.8,json
llama-3.1-8b,5,16,0.75,1.0,1.0,0.8,json
llama-3.1-8b,5,17,0.75,0.75,1.0,0.6,json
llama-3.1-8b,5,18,0.75,0.75,0.75,0.85,json
llama-3.1-8b,5,19,0.75,1.0,1.0,0.85,json
llama-3.1-8b,6,0,1.0,1.0,1.0,0.95,json
llama-3.1-8b,6,1,1.0,1.0,1.0,0.75,json
llama-3.1-8b,6,2,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,3,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,4,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,5,0.75,0.75,1.0,0.75,json
llama-3.1-8b,6,6,0.75,0.75,0.75,0.75,json
llama-3.1-8b,6,7,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,8,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,9,1.0,1.0,1.0,0.95,json
llama-3.1-8b,6,10,0.75,0.75,0.75,0.85,json
llama-3.1-8b,6,11,0.75,0.75,0.75,0.8,json
llama-3.1-8b,6,12,0.75,0.75,0.75,0.85,json
llama-3.1-8b,6,13,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,14,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,15,1.0,1.0,1.0,0.8,json
llama-3.1-8b,6,16,1.0,1.0,1.0,0.9,json
llama-3.1-8b,6,17,0.75,1.0,0.75,0.8,json
llama-3.1-8b,6,18,0.75,0.75,0.75,0.85,json
llama-3.1-8b,6,19,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,0,0.75,0.75,0.75,0.8,json
llama-3.1-8b,7,1,1.0,1.0,1.0,0.85,json
llama-3.1-8b,7,2,0.75,0.75,0.75,0.8,json
llama-3.1-8b,7,3,1.0,1.0,1.0,0.8,json
llama-3.1-8b,7,4,0.75,0.75,0.75,0.8,json
llama-3.1-8b,7,5,0.75,0.75,1.0,0.9,json
llama-3.1-8b,7,6,0.5,0.5,0.5,0.85,json
llama-3.1-8b,7,7,1.0,1.0,1.0,0.8,json
llama-3.1-8b,7,8,1.0,1.0,1.0,1.0,json
