model,level,example_id,strict_quality,lenient_quality,content_presence,stored_quality,parse_path
llama-3.1-8b,3,8,0.8333,0.8333,1.0,0.8333,json
llama-3.1-8b,3,9,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,10,0.8,0.8,0.6667,0.8,json
llama-3.1-8b,3,11,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,12,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,13,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,14,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,15,0.7778,0.7778,1.0,0.7778,json
llama-3.1-8b,3,16,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,17,0.25,0.25,0.5,0.25,json
llama-3.1-8b,3,18,1.0,1.0,1.0,1.0,json
llama-3.1-8b,3,19,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,0,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,1,0.6667,0.6667,1.0,0.6667,json
llama-3.1-8b,4,2,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,3,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,4,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,5,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,6,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,7,0.9,0.9,0.8333,0.9,json
llama-3.1-8b,4,8,0.8333,0.8333,1.0,0.8333,json
llama-3.1-8b,4,9,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,10,0.0,0.0,1.0,0.0,plain_keyval
llama-3.1-8b,4,11,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,12,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,13,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,14,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,15,0.7778,0.7778,1.0,0.7778,json
llama-3.1-8b,4,16,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,17,0.25,0.25,0.5,0.25,json
llama-3.1-8b,4,18,1.0,1.0,1.0,1.0,json
llama-3.1-8b,4,19,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,0,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,1,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,2,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,3,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,4,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,5,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,6,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,7,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,8,0.0,0.0,1.0,0.0,plain_keyval
llama-3.1-8b,5,9,0.5,0.5,1.0,0.5,json
llama-3.1-8b,5,10,0.0,0.0,1.0,0.0,plain_keyval
llama-3.1-8b,5,11,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,12,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,13,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,14,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,15,0.7778,0.7778,1.0,0.7778,json
llama-3.1-8b,5,16,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,17,0.25,0.25,0.5,0.25,json
llama-3.1-8b,5,18,1.0,1.0,1.0,1.0,json
llama-3.1-8b,5,19,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,0,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,1,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,2,0.5,0.5,1.0,0.5,json
llama-3.1-8b,6,3,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,4,0.6667,0.6667,1.0,0.6667,json
llama-3.1-8b,6,5,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,6,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,7,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,8,0.8333,0.8333,1.0,0.8333,json
llama-3.1-8b,6,9,0.5,0.5,1.0,0.5,json
llama-3.1-8b,6,10,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,11,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,12,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,13,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,14,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,15,0.7778,0.7778,1.0,0.7778,json
llama-3.1-8b,6,16,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,17,0.5,0.5,1.0,0.5,json
llama-3.1-8b,6,18,1.0,1.0,1.0,1.0,json
llama-3.1-8b,6,19,0.8333,0.8333,1.0,0.8333,json
llama-3.1-8b,7,0,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,1,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,2,0.5,0.5,1.0,0.5,json
llama-3.1-8b,7,3,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,4,0.6667,0.6667,1.0,0.6667,json
llama-3.1-8b,7,5,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,6,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,7,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,8,0.8333,0.8333,1.0,0.8333,json
llama-3.1-8b,7,9,0.5,0.5,1.0,0.5,json
llama-3.1-8b,7,10,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,11,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,12,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,13,0.5,0.5,1.0,0.5,json
llama-3.1-8b,7,14,0.75,0.75,1.0,0.75,json
llama-3.1-8b,7,15,0.7778,0.7778,1.0,0.7778,json
llama-3.1-8b,7,16,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,17,0.25,0.25,0.5,0.25,json
llama-3.1-8b,7,18,1.0,1.0,1.0,1.0,json
llama-3.1-8b,7,19,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,1,0,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,1,1,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,1,2,0.0,0.0,1.0,0.0,markdown_list
llama-3.3-70b,1,3,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,1,4,0.0,0.3333,1.0,0.0,markdown_list
llama-3.3-70b,1,5,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,1,6,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,1,7,0.0,0.0,1.0,0.0,markdown_list
llama-3.3-70b,1,8,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,1,9,0.0,0.0,1.0,0.0,markdown_list
llama-3.3-70b,1,10,0.0,0.0,1.0,0.0,markdown_list
llama-3.3-70b,1,11,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,1,12,0.0,0.0,1.0,0.0,markdown_list
llama-3.3-70b,1,13,0.0,0.4,1.0,0.0,markdown_list
llama-3.3-70b,1,14,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,1,15,0.0,0.3333,1.0,0.0,markdown_list
llama-3.3-70b,1,16,0.0,0.8889,1.0,0.0,markdown_list
llama-3.3-70b,1,17,0.0,0.5,1.0,0.0,markdown_list
llama-3.3-70b,1,18,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,1,19,0.0,0.5,1.0,0.0,markdown_list
llama-3.3-70b,2,0,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,1,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,2,0.0,0.5,1.0,0.0,markdown_list
llama-3.3-70b,2,3,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,4,0.0,0.0,1.0,0.0,markdown_list
llama-3.3-70b,2,5,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,6,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,7,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,2,8,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,2,9,0.0,0.8,1.0,0.0,markdown_list
llama-3.3-70b,2,10,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,11,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,12,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,13,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,14,0.0,0.7,1.0,0.0,markdown_list
llama-3.3-70b,2,15,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,16,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,2,17,0.0,1.0,1.0,0.0,markdown_list
llama-3.3-70b,2,18,0.0,0.75,1.0,0.0,markdown_list
llama-3.3-70b,2,19,0.0,0.8333,1.0,0.0,markdown_list
llama-3.3-70b,3,0,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,1,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,2,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,3,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,4,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,5,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,6,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,7,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,8,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,3,9,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,10,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,11,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,12,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,13,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,14,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,15,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,16,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,17,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,18,1.0,1.0,1.0,1.0,json
llama-3.3-70b,3,19,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,4,0,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,1,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,2,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,3,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,4,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,5,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,6,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,7,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,8,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,4,9,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,10,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,11,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,12,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,13,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,14,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,15,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,16,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,17,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,18,1.0,1.0,1.0,1.0,json
llama-3.3-70b,4,19,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,5,0,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,1,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,2,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,3,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,4,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,5,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,6,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,7,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,8,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,5,9,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,10,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,11,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,12,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,13,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,14,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,15,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,16,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,17,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,18,1.0,1.0,1.0,1.0,json
llama-3.3-70b,5,19,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,6,0,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,1,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,2,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,3,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,4,0.6667,0.6667,1.0,0.6667,json
llama-3.3-70b,6,5,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,6,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,7,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,8,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,6,9,0.5,0.5,1.0,0.5,json
llama-3.3-70b,6,10,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,11,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,12,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,13,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,14,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,15,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,16,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,17,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,18,1.0,1.0,1.0,1.0,json
llama-3.3-70b,6,19,0.8333,0.8333,1.0,0.8333,json
llama-3.3-70b,7,0,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,1,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,2,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,3,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,4,0.6667,0.6667,1.0,0.6667,json
llama-3.3-70b,7,5,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,6,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,7,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,8,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,9,0.0,0.0,1.0,0.0,json
llama-3.3-70b,7,10,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,11,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,12,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,13,0.5,0.5,1.0,0.5,json
llama-3.3-70b,7,14,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,15,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,16,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,17,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,18,1.0,1.0,1.0,1.0,json
llama-3.3-70b,7,19,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,1,0,0.0,0.8,1.0,0.0,markdown_list
qwen3-32b,1,1,0.0,0.6667,1.0,0.0,markdown_list
qwen3-32b,1,2,0.0,0.2,1.0,0.0,markdown_list
qwen3-32b,1,3,0.0,0.75,1.0,0.0,markdown_list
qwen3-32b,1,4,0.0,0.5,1.0,0.0,markdown_list
qwen3-32b,1,5,0.0,0.6889,1.0,0.0,markdown_list
qwen3-32b,1,6,0.0,0.1429,1.0,0.0,markdown_list
qwen3-32b,1,7,0.0,0.1429,1.0,0.0,markdown_list
qwen3-32b,1,8,0.0,0.6667,1.0,0.0,markdown_list
qwen3-32b,1,9,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,1,10,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,1,11,0.0,0.6667,1.0,0.0,markdown_list
qwen3-32b,1,12,0.0,0.25,1.0,0.0,markdown_list
qwen3-32b,1,13,0.0,0.8333,1.0,0.0,markdown_list
qwen3-32b,1,14,0.0,0.5,1.0,0.0,markdown_list
qwen3-32b,1,15,0.0,0.6111,1.0,0.0,markdown_list
qwen3-32b,1,16,0.0,0.7222,1.0,0.0,markdown_list
qwen3-32b,1,17,0.0,0.8333,1.0,0.0,markdown_list
qwen3-32b,1,18,0.0,0.1667,1.0,0.0,markdown_list
qwen3-32b,1,19,0.0,0.5,1.0,0.0,markdown_list
qwen3-32b,2,0,0.0,1.0,1.0,0.0,markdown_list
qwen3-32b,2,1,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,2,0.0,0.5,1.0,0.0,markdown_list
qwen3-32b,2,3,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,4,0.0,0.6667,1.0,0.0,markdown_list
qwen3-32b,2,5,0.0,1.0,1.0,0.0,markdown_list
qwen3-32b,2,6,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,7,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,8,0.0,0.8333,1.0,0.0,markdown_list
qwen3-32b,2,9,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,10,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,11,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,12,0.0,1.0,1.0,0.0,markdown_list
qwen3-32b,2,13,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,14,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,15,0.0,1.0,1.0,0.0,markdown_list
qwen3-32b,2,16,0.0,1.0,1.0,0.0,markdown_list
qwen3-32b,2,17,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,18,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,2,19,0.0,0.0,1.0,0.0,markdown_list
qwen3-32b,3,0,1.0,1.0,1.0,1.0,json
qwen3-32b,3,1,1.0,1.0,1.0,1.0,json
qwen3-32b,3,2,0.5,0.5,1.0,0.5,json
qwen3-32b,3,3,1.0,1.0,1.0,1.0,json
qwen3-32b,3,4,1.0,1.0,1.0,1.0,json
qwen3-32b,3,5,1.0,1.0,1.0,1.0,json
qwen3-32b,3,6,1.0,1.0,1.0,1.0,json
qwen3-32b,3,7,1.0,1.0,1.0,1.0,json
qwen3-32b,3,8,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,3,9,1.0,1.0,1.0,1.0,json
qwen3-32b,3,10,1.0,1.0,1.0,1.0,json
qwen3-32b,3,11,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,3,12,1.0,1.0,1.0,1.0,json
qwen3-32b,3,13,1.0,1.0,1.0,1.0,json
qwen3-32b,3,14,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,3,15,0.9333,0.9333,1.0,0.9333,json
qwen3-32b,3,16,1.0,1.0,1.0,1.0,json
qwen3-32b,3,17,0.5,0.5,1.0,0.5,json
qwen3-32b,3,18,1.0,1.0,1.0,1.0,json
qwen3-32b,3,19,1.0,1.0,1.0,1.0,json
qwen3-32b,4,0,1.0,1.0,1.0,1.0,json
qwen3-32b,4,1,1.0,1.0,1.0,1.0,json
qwen3-32b,4,2,0.5,0.5,1.0,0.5,json
qwen3-32b,4,3,1.0,1.0,1.0,1.0,json
qwen3-32b,4,4,0.6667,0.6667,1.0,0.6667,json
qwen3-32b,4,5,1.0,1.0,1.0,1.0,json
qwen3-32b,4,6,0.3333,0.3333,1.0,0.3333,json
qwen3-32b,4,7,1.0,1.0,1.0,1.0,json
qwen3-32b,4,8,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,4,9,1.0,1.0,1.0,1.0,json
qwen3-32b,4,10,1.0,1.0,1.0,1.0,json
qwen3-32b,4,11,0.75,0.75,1.0,0.75,json
qwen3-32b,4,12,1.0,1.0,1.0,1.0,json
qwen3-32b,4,13,1.0,1.0,1.0,1.0,json
qwen3-32b,4,14,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,4,15,1.0,1.0,1.0,1.0,json
qwen3-32b,4,16,1.0,1.0,1.0,1.0,json
qwen3-32b,4,17,0.5,0.5,1.0,0.5,json
qwen3-32b,4,18,1.0,1.0,1.0,1.0,json
qwen3-32b,4,19,1.0,1.0,1.0,1.0,json
qwen3-32b,5,0,1.0,1.0,1.0,1.0,json
qwen3-32b,5,1,1.0,1.0,1.0,1.0,json
qwen3-32b,5,2,0.5,0.5,1.0,0.5,json
qwen3-32b,5,3,1.0,1.0,1.0,1.0,json
qwen3-32b,5,4,0.6667,0.6667,1.0,0.6667,json
qwen3-32b,5,5,1.0,1.0,1.0,1.0,json
qwen3-32b,5,6,0.3333,0.3333,1.0,0.3333,json
qwen3-32b,5,7,1.0,1.0,1.0,1.0,json
qwen3-32b,5,8,1.0,1.0,1.0,1.0,json
qwen3-32b,5,9,1.0,1.0,1.0,1.0,json
qwen3-32b,5,10,1.0,1.0,1.0,1.0,json
qwen3-32b,5,11,0.75,0.75,1.0,0.75,json
qwen3-32b,5,12,1.0,1.0,1.0,1.0,json
qwen3-32b,5,13,1.0,1.0,1.0,1.0,json
qwen3-32b,5,14,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,5,15,1.0,1.0,1.0,1.0,json
qwen3-32b,5,16,1.0,1.0,1.0,1.0,json
qwen3-32b,5,17,0.5,0.5,1.0,0.5,json
qwen3-32b,5,18,1.0,1.0,1.0,1.0,json
qwen3-32b,5,19,1.0,1.0,1.0,1.0,json
qwen3-32b,6,0,1.0,1.0,1.0,1.0,json
qwen3-32b,6,1,1.0,1.0,1.0,1.0,json
qwen3-32b,6,2,0.5,0.5,1.0,0.5,json
qwen3-32b,6,3,1.0,1.0,1.0,1.0,json
qwen3-32b,6,4,1.0,1.0,1.0,1.0,json
qwen3-32b,6,5,1.0,1.0,1.0,1.0,json
qwen3-32b,6,6,0.3333,0.3333,1.0,0.3333,json
qwen3-32b,6,7,1.0,1.0,1.0,1.0,json
qwen3-32b,6,8,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,6,9,1.0,1.0,1.0,1.0,json
qwen3-32b,6,10,1.0,1.0,1.0,1.0,json
qwen3-32b,6,11,0.75,0.75,1.0,0.75,json
qwen3-32b,6,12,1.0,1.0,1.0,1.0,json
qwen3-32b,6,13,1.0,1.0,1.0,1.0,json
qwen3-32b,6,14,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,6,15,1.0,1.0,1.0,1.0,json
qwen3-32b,6,16,1.0,1.0,1.0,1.0,json
qwen3-32b,6,17,0.5,0.5,1.0,0.5,json
qwen3-32b,6,18,1.0,1.0,1.0,1.0,json
qwen3-32b,6,19,1.0,1.0,1.0,1.0,json
qwen3-32b,7,0,1.0,1.0,1.0,1.0,json
qwen3-32b,7,1,1.0,1.0,1.0,1.0,json
qwen3-32b,7,2,0.5,0.5,1.0,0.5,json
qwen3-32b,7,3,1.0,1.0,1.0,1.0,json
qwen3-32b,7,4,0.6667,0.6667,1.0,0.6667,json
qwen3-32b,7,5,1.0,1.0,1.0,1.0,json
qwen3-32b,7,6,1.0,1.0,1.0,1.0,json
qwen3-32b,7,7,1.0,1.0,1.0,1.0,json
qwen3-32b,7,8,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,7,9,1.0,1.0,1.0,1.0,json
qwen3-32b,7,10,1.0,1.0,1.0,1.0,json
qwen3-32b,7,11,0.75,0.75,1.0,0.75,json
qwen3-32b,7,12,1.0,1.0,1.0,1.0,json
qwen3-32b,7,13,1.0,1.0,1.0,1.0,json
qwen3-32b,7,14,0.8333,0.8333,1.0,0.8333,json
qwen3-32b,7,15,1.0,1.0,1.0,1.0,json
qwen3-32b,7,16,1.0,1.0,1.0,1.0,json
qwen3-32b,7,17,0.5,0.5,1.0,0.5,json
qwen3-32b,7,18,1.0,1.0,1.0,1.0,json
qwen3-32b,7,19,1.0,1.0,1.0,1.0,json
claude-haiku,1,0,0.0,0.0,1.0,0.0,markdown_list
claude-haiku,1,1,0.0,0.0,1.0,0.0,prose
claude-haiku,1,2,0.0,0.0,1.0,0.0,markdown_list
