rq,test,statistic,p_value,effect_size,effect_metric,notes
RQ7,curve_fit,-970.991,,124.0,saturation_tokens,"model=qwen3-32b, task=summarization, best_fit=logarithmic, n=150"
RQ7,curve_fit,-541.096,,80.0,saturation_tokens,"model=qwen3-32b, task=classification, best_fit=logarithmic, n=150"
RQ7,curve_fit,-503.084,,129.7,saturation_tokens,"model=qwen3-32b, task=instruction_following, best_fit=sigmoid, n=150"
RQ7,curve_fit,-619.621,,54.0,saturation_tokens,"model=llama-3.3-70b, task=qa, best_fit=logarithmic, n=150"
RQ7,curve_fit,-950.472,,134.0,saturation_tokens,"model=llama-3.3-70b, task=summarization, best_fit=logarithmic, n=150"
RQ7,curve_fit,-551.883,,90.0,saturation_tokens,"model=llama-3.3-70b, task=classification, best_fit=logarithmic, n=150"
RQ7,curve_fit,-492.233,,309.8,saturation_tokens,"model=llama-3.3-70b, task=instruction_following, best_fit=logarithmic, n=143"
RQ7,curve_fit,-574.45,,40.0,saturation_tokens,"model=kimi-k2, task=qa, best_fit=logarithmic, n=150"
RQ7,curve_fit,-1019.36,,130.0,saturation_tokens,"model=kimi-k2, task=summarization, best_fit=logarithmic, n=150"
RQ7,curve_fit,-503.036,,64.0,saturation_tokens,"model=kimi-k2, task=classification, best_fit=logarithmic, n=150"
RQ7,curve_fit,-518.09,,130.7,saturation_tokens,"model=kimi-k2, task=instruction_following, best_fit=sigmoid, n=150"
RQ7,curve_fit,-566.202,,25.0,saturation_tokens,"model=gpt-4o-mini, task=qa, best_fit=logarithmic, n=150"
RQ7,curve_fit,-968.766,,119.0,saturation_tokens,"model=gpt-4o-mini, task=summarization, best_fit=logarithmic, n=150"
RQ7,curve_fit,-504.649,,108.2,saturation_tokens,"model=gpt-4o-mini, task=classification, best_fit=logarithmic, n=150"
RQ7,curve_fit,-530.617,,138.4,saturation_tokens,"model=gpt-4o-mini, task=instruction_following, best_fit=sigmoid, n=150"
RQ7,curve_fit,-660.501,,30.0,saturation_tokens,"model=claude-haiku, task=qa, best_fit=logarithmic, n=150"
RQ7,curve_fit,-1008.729,,126.0,saturation_tokens,"model=claude-haiku, task=summarization, best_fit=logarithmic, n=150"
RQ7,curve_fit,-581.959,,105.0,saturation_tokens,"model=claude-haiku, task=classification, best_fit=logarithmic, n=150"
RQ7,curve_fit,-524.409,,135.6,saturation_tokens,"model=claude-haiku, task=instruction_following, best_fit=sigmoid, n=150"
RQ8,paired_t_test vs remove_filler,1.1854,0.2438,0.0368,mean_quality_retained_diff (llm - baseline),n_pairs=36
RQ8,paired_t_test vs truncate_examples,3.7603,0.0006,0.2039,mean_quality_retained_diff (llm - baseline),n_pairs=36
RQ8,paired_t_test vs add_concise_suffix,-0.014,0.9889,-0.0002,mean_quality_retained_diff (llm - baseline),n_pairs=36
RQ8,mean_compression,1.0029,,0.9794,mean_quality_retained,"method=remove_filler, n=36"
RQ8,mean_compression,1.7568,,0.8123,mean_quality_retained,"method=truncate_examples, n=36"
RQ8,mean_compression,1.3046,,1.0164,mean_quality_retained,"method=add_concise_suffix, n=36"
RQ8,mean_compression,1.4001,,1.0162,mean_quality_retained,"method=llm_optimizer, n=36"
Metric,quality_signal_correlation,0.9857,0.0,,Pearson_r,heuristic vs LLM judge quality (n=4032)
Metric,quality_signal_correlation_by_strategy,0.9892,,,Pearson_r,"strategy=concise, n=802"
Metric,quality_signal_correlation_by_strategy,0.9804,,,Pearson_r,"strategy=cot, n=807"
Metric,quality_signal_correlation_by_strategy,0.9901,,,Pearson_r,"strategy=few_shot, n=801"
Metric,quality_signal_correlation_by_strategy,0.9873,,,Pearson_r,"strategy=zero_shot, n=814"
Metric,quality_signal_correlation_by_strategy,0.9852,,,Pearson_r,"strategy=zero_shot_verbose, n=808"
Metric,alpha_sensitivity_alpha=1.0,,,,,"strategy rankings: zero_shot→2, zero_shot_verbose→3, few_shot→5, cot→4, concise→1"
Metric,alpha_sensitivity_alpha=1.5,,,,,"strategy rankings: zero_shot→2, zero_shot_verbose→3, few_shot→4, cot→5, concise→1"
Metric,alpha_sensitivity_alpha=2.0,,,,,"strategy rankings: zero_shot→2, zero_shot_verbose→3, few_shot→4, cot→5, concise→1"
Metric,alpha_sensitivity_alpha=3.0,,,,,"strategy rankings: zero_shot→2, zero_shot_verbose→3, few_shot→4, cot→5, concise→1"
Metric,alpha_sensitivity_alpha=4.0,,,,,"strategy rankings: zero_shot→2, zero_shot_verbose→4, few_shot→3, cot→5, concise→1"
